case	process_calls	dbus_calls	first_paint_p99_ms	publication_p99_ms	skipped_display_deadlines	first_paint_over_250ms	publication_over_50ms	shutdown_duration_ms	shutdown_over_500ms	final_status
five-second-page-timeout	4	13	201.478	2.041	0	0	0	8.287	0	ok
unavailable-system-dbus	2	22	112.831	1.573	0	0	0	2.244	0	ok
