mode	scenario	repeats	first_paint_p99_median_ms	first_paint_p99_worst_ms	publication_p99_median_ms	publication_p99_worst_ms	wake_p99_worst_ms	shutdown_worst_ms	skipped_display_deadlines_total	first_paint_over_250ms_total	publication_over_50ms_total
normal	hidden	3	9.498	9.604	1.450	1.648	1.961	3.707	0	0	0
normal	main	3	104.893	105.165	1.673	1.701	1.901	6.409	0	0	0
normal	graphs	3	103.911	103.986	1.687	2.244	1.937	5.972	0	0	0
normal	processes	3	105.047	105.218	1.542	1.720	1.742	6.644	0	0	0
affinity-cpu0	hidden	3	9.590	9.769	2.150	3.317	3.076	4.875	0	0	0
affinity-cpu0	main	3	104.701	104.868	2.091	2.131	1.914	2.673	0	0	0
affinity-cpu0	graphs	3	103.648	104.046	1.235	1.854	1.867	5.075	0	0	0
affinity-cpu0	processes	3	105.059	106.683	1.488	1.834	2.060	3.911	0	0	0
