mode	scenario	job	max_queue_p99_ms	max_run_p99_ms
normal	graphs	Disk:Smart:SmartDrive { label: "nvme1n1", object_path: "/org/freedesktop/UDisks2/drives/Samsung_SSD_990_PRO_4TB_S7DPNF0Y500836E" }	2.072	8.443
normal	graphs	Discovery:HardwareDiscovery:Inventory(SystemBattery)	7.044	0.539
normal	graphs	Disk:DiskTemperature:NamedPath { name: "nvme0n1", path: "/sys/class/hwmon/hwmon6/temp1_input" }	0.028	5.094
normal	graphs	Discovery:HardwareDiscovery:Inventory(Smart)	0.655	2.671
normal	graphs	Disk:DiskUsage:Mount("/")	2.241	0.137
normal	graphs	Network:NetworkIdentity:Singleton	0.312	1.869
normal	graphs	Disk:DiskTemperature:NamedPath { name: "nvme1n1", path: "/sys/class/hwmon/hwmon5/temp1_input" }	0.059	1.589
normal	graphs	Discovery:HardwareDiscovery:Inventory(Backlight)	1.238	0.097
normal	graphs	Disk:DiskUsage:Mount("/run/media/bogdan/Q_16")	1.187	0.140
normal	graphs	Discovery:HardwareDiscovery:Inventory(Nvidia)	1.041	0.300
normal	graphs	Discovery:HardwareDiscovery:Inventory(Cpu)	0.995	0.446
normal	graphs	Discovery:HardwareDiscovery:Inventory(Thermal)	0.684	0.436
normal	graphs	Discovery:HardwareDiscovery:Inventory(DiskIo)	0.589	0.414
normal	graphs	Network:NetworkRate:Device("tun0")	0.493	0.058
normal	graphs	Discovery:HardwareDiscovery:Inventory(Intel)	0.450	0.105
normal	graphs	Memory:Memory:Singleton	0.430	0.072
normal	graphs	External:Brightness:Singleton	0.297	0.092
normal	graphs	Cpu:Cpu:CpuSources { temperature: Some("/sys/class/hwmon/hwmon10/temp1_input"), frequency: Some("/sys/devices/system/cpu/cpu0/cpufreq/scaling_cur_freq"), turbo: Some("/sys/devices/system/cpu/cpufreq/boost") }	0.210	0.275
normal	graphs	Memory:MemoryHistory:Singleton	0.089	0.011
normal	graphs	Cpu:CpuHistory:Singleton	0.081	0.029
normal	graphs	Network:NetworkHistory:Singleton	0.038	0.016
normal	processes	Disk:DiskUsage:Mount("/run/media/bogdan/T_01")	43.606	0.092
normal	processes	Disk:Smart:SmartDrive { label: "nvme0n1", object_path: "/org/freedesktop/UDisks2/drives/KINGSTON_SKC2500M82000G_50026B7684E30425" }	0.140	22.091
normal	processes	Discovery:HardwareDiscovery:Inventory(Network)	22.068	2.050
normal	processes	Discovery:MountInventory:Singleton	18.990	0.239
normal	processes	Disk:DiskUsage:Mount("/run/media/bogdan/R_14")	16.662	0.108
normal	processes	Disk:DiskUsage:Mount("/")	8.604	0.169
normal	processes	Process:PageProcesses:Singleton	0.406	8.262
normal	processes	Disk:Smart:SmartDrive { label: "nvme1n1", object_path: "/org/freedesktop/UDisks2/drives/Samsung_SSD_990_PRO_4TB_S7DPNF0Y500836E" }	1.913	7.228
normal	processes	Discovery:HardwareDiscovery:Inventory(Peripheral)	7.099	0.554
normal	processes	Network:NetworkIdentity:Singleton	7.054	1.691
normal	processes	Discovery:HardwareDiscovery:Inventory(SystemBattery)	0.052	6.765
normal	processes	Disk:DiskTemperature:NamedPath { name: "nvme0n1", path: "/sys/class/hwmon/hwmon6/temp1_input" }	0.033	5.109
normal	processes	Discovery:HardwareDiscovery:Inventory(Smart)	0.046	2.644
normal	processes	Discovery:HardwareDiscovery:Inventory(Cpu)	0.133	0.697
normal	processes	Disk:DiskTemperature:NamedPath { name: "nvme1n1", path: "/sys/class/hwmon/hwmon5/temp1_input" }	0.065	0.676
normal	processes	Discovery:HardwareDiscovery:Inventory(Thermal)	0.064	0.503
normal	processes	Network:NetworkRate:Device("tun0")	0.408	0.089
normal	processes	Memory:Memory:Singleton	0.376	0.041
normal	processes	Discovery:HardwareDiscovery:Inventory(DiskIo)	0.163	0.343
normal	processes	Discovery:HardwareDiscovery:Inventory(Nvidia)	0.074	0.323
normal	processes	External:Brightness:Singleton	0.304	0.111
normal	processes	Cpu:Cpu:CpuSources { temperature: Some("/sys/class/hwmon/hwmon10/temp1_input"), frequency: Some("/sys/devices/system/cpu/cpu0/cpufreq/scaling_cur_freq"), turbo: Some("/sys/devices/system/cpu/cpufreq/boost") }	0.181	0.268
normal	processes	Disk:DiskUsage:Mount("/run/media/bogdan/Q_16")	0.248	0.131
normal	processes	Memory:MemoryHistory:Singleton	0.161	0.023
normal	processes	Cpu:CpuHistory:Singleton	0.150	0.046
normal	processes	Network:NetworkHistory:Singleton	0.110	0.036
normal	processes	Discovery:HardwareDiscovery:Inventory(Backlight)	0.057	0.100
normal	processes	Discovery:HardwareDiscovery:Inventory(Intel)	0.066	0.067
affinity-cpu0	hidden	Disk:Smart:SmartDrive { label: "nvme0n1", object_path: "/org/freedesktop/UDisks2/drives/KINGSTON_SKC2500M82000G_50026B7684E30425" }	0.178	22.532
affinity-cpu0	hidden	Disk:DiskUsage:Mount("/run/media/bogdan/R_14")	16.814	0.096
affinity-cpu0	hidden	Disk:DiskUsage:Mount("/run/media/bogdan/T_01")	13.986	0.085
affinity-cpu0	hidden	Discovery:HardwareDiscovery:Inventory(Peripheral)	13.120	0.711
affinity-cpu0	hidden	Disk:Smart:SmartDrive { label: "nvme1n1", object_path: "/org/freedesktop/UDisks2/drives/Samsung_SSD_990_PRO_4TB_S7DPNF0Y500836E" }	0.083	8.701
affinity-cpu0	hidden	Discovery:HardwareDiscovery:Inventory(SystemBattery)	5.114	2.159
