── Tooltip output (processes) ──────────────────────────────────
TOP PROCESSES
 
   PID  COMMAND         %CPU  %MEM
  7649  zen --name app…  126   2.6
  7788  browser 4 rdd    108   1.6
663989  pi                25   0.3
549439  Code --standar…   23   0.5
552791  Code --standar…   23   0.5
 32579  browser 26 tab    17   0.3
661133  pi                15   0.3
495557  Code --gpu-pre…   11   0.2
550230  kilo serve --p…    7   0.4
  2973  kwin_wayland -…    7   0.3
363778  chrome --type=…    5   0.4
549505  Code --standar…    3   0.5
495506  code               3   0.4
416941  browser 49 tab     1   0.7
  3285  plasmashell --…    1   0.5
               ● ●


