implementation	mode	scenario	repetition	window	wall_seconds	user_ticks	system_ticks	child_user_ticks	child_system_ticks	rss_peak_kib	voluntary_context_switches	involuntary_context_switches	child_exec_attempts	successful_child_execs	child_exits_zero	publication_writes	publication_bytes	publication_method
baseline	normal	timeout	2	setup	6.110000	0	0	0	0	4112	222	0	1	1	0	1	4294	bounded-stat-poll-0.1s
baseline	normal	timeout	2	steady	8.020000	0	1	0	0	4112	751	0	3	3	0	3	13976	bounded-stat-poll-0.1s
baseline	normal	timeout	3	startup	0.130000	0	0	1	1	4812	3079	1	9	9	0	2	13867	bounded-stat-poll-0.1s
baseline	normal	timeout	3	setup	6.110000	0	0	0	0	4812	222	0	1	1	0	1	4294	bounded-stat-poll-0.1s
baseline	normal	timeout	3	steady	8.010000	0	1	0	0	4812	751	0	3	3	0	3	13976	bounded-stat-poll-0.1s
baseline	cpu0	hidden	1	startup	0.120000	0	0	1	0	4544	3317	2	9	9	0	2	13979	bounded-stat-poll-0.1s
baseline	cpu0	hidden	1	setup	0.020000	0	0	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
baseline	cpu0	hidden	1	steady	8.030000	1	0	0	0	4544	2270	0	0	0	0	10	70072	bounded-stat-poll-0.1s
baseline	cpu0	hidden	2	startup	0.130000	0	0	1	0	4560	3316	1	9	9	0	2	13979	bounded-stat-poll-0.1s
baseline	cpu0	hidden	2	setup	0.010000	0	0	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
baseline	cpu0	hidden	2	steady	8.020000	0	1	0	0	4560	2270	0	0	0	0	10	70087	bounded-stat-poll-0.1s
baseline	cpu0	hidden	3	startup	0.130000	0	1	1	0	4616	3316	2	9	9	0	2	13979	bounded-stat-poll-0.1s
baseline	cpu0	hidden	3	setup	0.010000	0	0	0	0	0	0	0	0	0	0	0	0	bounded-stat-poll-0.1s
