── Tooltip output (processes) ──────────────────────────────────
TOP PROCESSES
 
   PID  COMMAND            %CPU  %MEM
185311  Code --standard-s…   15   0.5
656450  pi                   11   0.3
163170  Code --gpu-prefer…    7   0.1
 11591  browser 15 tab        5   0.1
  3318  kwin_wayland --wa…    3   0.2
  3621  plasmashell --no-…    1   0.5
163112  code                  1   0.4
327148  kilo serve --port…    1   0.3
170615  Code --standard-s…    1   0.1
662334  plasma-top render…    1   0.0
214257  kworker/14:1-mm_p…    1   0.0
  7279  zen --name app.ze…    0   1.2
 10666  browser 12 tab        0   0.9
  8827  browser 11 tab        0   0.9
  7514  browser 5 tab         0   0.8
                 ● ●


